#SampBsub = Samp - alpha * Bkg
#Samp : Sgi4X_00017.avg
#Bkg : Sgibuf_00016.avg
#alpha : 1.00000
#SampBsub : Sgi4X_00017_Bsub.dat
#Data Dir :  C:\Users\zuox\Box\work\matlab_codes\matlab_12IDB\bioSAXSproc\example\
#Time : 20-Sep-2022 16:18:33
# 
#  q          I(q)          I(q)_err
1.37984E-01  3.18012E-04  9.8770E-05
1.39984E-01  2.72197E-04  9.8013E-05
1.41984E-01  3.44133E-04  9.7572E-05
1.43984E-01  3.23604E-04  9.6501E-05
1.45983E-01  3.03003E-04  9.5994E-05
1.47983E-01  3.36846E-04  9.5921E-05
1.49983E-01  2.97926E-04  9.8927E-05
1.51983E-01  3.13262E-04  1.0050E-04
1.53982E-01  3.31100E-04  1.0092E-04
1.55982E-01  2.82186E-04  9.7706E-05
1.57982E-01  1.54081E-04  9.5930E-05
1.59982E-01  1.84540E-04  9.4726E-05
1.61981E-01  1.75453E-04  9.3953E-05
1.63981E-01  2.11062E-04  9.3064E-05
1.65981E-01  1.91597E-04  9.2161E-05
1.67981E-01  2.16326E-04  9.1455E-05
1.69981E-01  2.01069E-04  9.0637E-05
1.71980E-01  1.29321E-04  8.9669E-05
1.73980E-01  8.13260E-05  8.9202E-05
1.75980E-01  9.22000E-05  8.8636E-05
1.77980E-01  1.14614E-04  8.8053E-05
1.79979E-01  1.91638E-04  8.7781E-05
1.81979E-01  1.55662E-04  8.7119E-05
1.83979E-01  5.44190E-05  8.6475E-05
1.85979E-01  5.41830E-05  8.6054E-05
1.87979E-01  6.17900E-06  8.5664E-05
1.89978E-01  3.73310E-05  8.5509E-05
1.91978E-01  6.76530E-05  8.4876E-05
1.93978E-01  9.44620E-05  8.4806E-05
1.95978E-01  4.00690E-05  8.4484E-05
1.97977E-01  6.64360E-05  8.4262E-05
1.99977E-01  9.51000E-05  8.3890E-05
2.01977E-01  3.27810E-05  8.3489E-05
2.03977E-01  8.28540E-05  8.3346E-05
2.05976E-01  5.32400E-05  8.3169E-05
2.07976E-01  5.94810E-05  8.3182E-05
2.09976E-01  3.30240E-05  8.2827E-05
2.11976E-01  2.51790E-05  8.2656E-05
2.13976E-01  5.92140E-05  8.2424E-05
2.15975E-01  5.70970E-05  8.2214E-05
2.17975E-01  7.81100E-05  8.2098E-05
2.19975E-01  1.97880E-05  8.2480E-05
2.21975E-01  9.21360E-05  8.5242E-05
2.23974E-01  6.13070E-05  8.7065E-05
2.25974E-01  7.24690E-05  8.7333E-05
2.27974E-01  6.60140E-05  8.4899E-05
2.29974E-01  8.78670E-05  8.3941E-05
2.31973E-01  1.06757E-04  8.3376E-05
2.33973E-01  1.44364E-04  8.2875E-05
2.35973E-01  6.21430E-05  8.2251E-05
2.37973E-01  2.24169E-04  8.1483E-05
2.39973E-01  2.61670E-05  8.0991E-05
2.41972E-01  4.12140E-05  8.0972E-05
2.43972E-01  6.36460E-05  8.0921E-05
2.45972E-01  9.37760E-05  8.0644E-05
2.47972E-01  -2.24700E-06  8.0785E-05
2.49971E-01  1.34507E-04  8.1238E-05
2.51971E-01  2.76190E-05  8.1417E-05
2.53971E-01  2.56460E-05  8.1657E-05
2.55971E-01  1.49700E-04  8.2098E-05
2.57971E-01  2.36620E-05  8.2849E-05
2.59970E-01  4.08670E-05  8.3171E-05
2.61970E-01  1.09640E-05  8.3699E-05
2.63970E-01  2.29000E-05  8.4134E-05
2.65970E-01  3.21540E-05  8.4290E-05
2.67969E-01  3.67360E-05  8.4303E-05
2.69969E-01  7.77880E-05  8.4538E-05
2.71969E-01  1.47190E-05  8.4809E-05
2.73969E-01  5.12400E-06  8.5155E-05
2.75968E-01  3.31200E-06  8.5299E-05
2.77968E-01  6.19040E-05  8.5484E-05
2.79968E-01  4.52310E-05  8.5645E-05
2.81968E-01  9.45760E-05  8.5876E-05
2.83968E-01  7.03210E-05  8.6010E-05
2.85967E-01  3.08070E-05  8.6149E-05
2.87967E-01  6.26960E-05  8.6350E-05
2.89967E-01  4.00400E-06  8.6045E-05
2.91967E-01  5.42140E-05  8.6907E-05
2.93966E-01  5.19690E-05  9.1613E-05
2.95966E-01  -1.07620E-05  9.4086E-05
2.97966E-01  3.04640E-05  9.4792E-05
2.99966E-01  3.37170E-05  7.4796E-05
3.03965E-01  5.50470E-05  6.3614E-05
3.07965E-01  4.26470E-05  6.3053E-05
3.11964E-01  7.68540E-05  6.3058E-05
3.15964E-01  5.21100E-05  6.2963E-05
3.19963E-01  8.51470E-05  6.2906E-05
3.23963E-01  2.68830E-05  6.2866E-05
3.27963E-01  -8.58100E-06  6.2896E-05
3.31962E-01  1.74380E-05  6.2535E-05
3.35962E-01  5.87860E-05  6.2200E-05
3.39961E-01  3.41290E-05  6.1869E-05
3.43961E-01  1.47600E-05  6.1806E-05
3.47960E-01  5.90000E-05  6.1869E-05
3.51960E-01  4.25640E-05  6.1810E-05
3.55959E-01  7.09960E-05  6.1840E-05
3.59959E-01  4.19970E-05  6.1820E-05
3.63958E-01  -2.52290E-05  6.3469E-05
3.67958E-01  3.72570E-05  6.9296E-05
3.71957E-01  4.72460E-05  6.7086E-05
3.75957E-01  3.91620E-05  6.5091E-05
3.79957E-01  6.42670E-05  6.4727E-05
3.83956E-01  1.47540E-05  6.4269E-05
3.87956E-01  6.07100E-05  6.3615E-05
3.91955E-01  4.55260E-05  6.3182E-05
3.95955E-01  2.26540E-05  6.2950E-05
3.99954E-01  4.91620E-05  6.2895E-05
4.03954E-01  7.81880E-05  6.2793E-05
4.07953E-01  5.13260E-05  6.2741E-05
4.11953E-01  9.02170E-05  6.2730E-05
4.15952E-01  8.35570E-05  6.2689E-05
4.19952E-01  4.28430E-05  6.2599E-05
4.23952E-01  3.65260E-05  6.2594E-05
4.27951E-01  4.66380E-05  6.2550E-05
4.31951E-01  6.74240E-05  6.2461E-05
4.35950E-01  3.53620E-05  6.4624E-05
4.39950E-01  9.26830E-05  7.0988E-05
4.43949E-01  4.75670E-05  6.6147E-05
4.47949E-01  8.31540E-05  6.3426E-05
4.51948E-01  2.48620E-05  6.2848E-05
4.55948E-01  5.54790E-05  6.2352E-05
4.59947E-01  3.14600E-05  6.2017E-05
4.63947E-01  1.02530E-05  6.1727E-05
4.67947E-01  2.64190E-05  6.1471E-05
4.71946E-01  3.34260E-05  6.1182E-05
4.75946E-01  5.27570E-05  6.1016E-05
4.79945E-01  3.54400E-05  6.0900E-05
4.83945E-01  6.57860E-05  6.0828E-05
4.87944E-01  3.39040E-05  6.0733E-05
4.91944E-01  6.54670E-05  6.0621E-05
4.95943E-01  4.45290E-05  6.0461E-05
4.99943E-01  5.36170E-05  6.0540E-05
5.03942E-01  3.69790E-05  6.0122E-05
5.07942E-01  7.69000E-07  6.4414E-05
5.11941E-01  5.38860E-05  7.5258E-05
5.15941E-01  -4.28330E-05  8.5628E-05
5.19941E-01  4.97460E-05  9.9711E-05
5.23940E-01  4.37830E-05  1.2540E-04
5.27940E-01  7.54600E-06  1.7930E-04
5.31939E-01  3.01086E-04  4.5218E-04
5.35939E-01  0.00000E+00  0.0000E+00
5.39938E-01  0.00000E+00  0.0000E+00
5.43938E-01  0.00000E+00  0.0000E+00
5.47937E-01  0.00000E+00  0.0000E+00
5.51937E-01  0.00000E+00  0.0000E+00
5.55936E-01  0.00000E+00  0.0000E+00
5.59936E-01  0.00000E+00  0.0000E+00
